Id,name,T3_Kills,T2_Kills,T1_Kills,RssAssistance,RssGathered,AllianceHelp,Pass4_T3_Kills,Pass4_T2_Kills,Pass4_T1_Kills,Pass4_RssAssistance,Pass4_RssGathered,Pass4_AllianceHelp,Total_LowTier_Kills,Total_RSS_Gather,Total_Helps,Total_Assistance
14169834,nubKris S}0]Â£!,"4,139,846","2,598,374","6,060,011","8,342,548,887","20,996,032,682","137,141","4,139,846","2,598,374","6,060,011","8,342,548,887","21,092,299,897","138,162",,,,
56459657,Arsenal999,"227,029","1,914,437","4,051,826","3,140,126,560","12,687,910,226","74,358","383,239","1,980,161","4,848,010","3,140,126,560","12,847,200,309","75,636",,,,
19437786,,"771,515","905,484","5,899,832","8,572,287,651","19,465,513,623","133,098","796,386","913,746","5,958,795","8,587,287,651","19,751,072,685","135,879",,,,
7228066,ck0403my,"922,866","1,147,324","3,911,273","3,477,462,477","31,806,744,805","124,840","923,119","1,147,633","3,911,397","3,477,462,477","32,226,131,276","126,412",,,,
434262,Anthony76,"578,339","338,820","589,733","6,086,674,350","22,892,842,363","54,717","578,339","338,820","589,736","6,086,674,350","23,279,655,070","55,809",,,,
13863867,Nezhaforever,"2,055,796","1,505,807","26,694,818","5,334,029,208","17,641,394,098","45,135","2,058,260","1,506,445","26,775,383","5,459,029,208","17,810,336,539","46,524",,,,
9107928,IFudgel,"1,801,791","1,614,479","13,209,145","7,142,564,277","24,500,209,532","89,906","1,808,043","1,621,858","13,363,953","7,742,564,278","25,028,047,749","92,443",,,,
3317232,leboomer,"1,461,094","1,544,450","42,263,450","10,808,765,829","23,303,294,154","98,121","1,462,767","1,545,115","42,277,663","10,808,765,829","23,574,098,205","98,960",,,,
22375708,Nathalie95,"1,564,291","1,031,411","28,613,547","3,338,461,751","27,395,433,649","193,436","1,565,495","1,031,885","28,618,306","3,338,461,751","27,701,798,093","196,177",,,,
35238338,KnightsGamer,"35,124","82,242","226,576","14,139,993,913","19,254,588,890","29,494","35,230","82,880","226,576","14,139,993,913","19,497,595,789","30,046",,,,
37024046,Its Qwert,"10,753,878","14,149,974","29,319,682","8,667,778,709","13,299,740,790","61,170","10,785,660","14,156,405","29,328,947","8,667,778,709","13,589,273,818","62,071",,,,
20700297,SWhiskey3t,"5,837,434","3,151,190","6,019,032","9,020,204,877","24,279,004,352","107,613","5,865,037","3,178,565","6,194,393","9,330,204,877","24,455,483,488","108,030",,,,
3463423,Aen peper,"643,055","491,077","1,502,496","4,893,796,668","23,347,653,578","175,208","643,055","491,077","1,502,496","4,893,796,737","23,425,565,379","175,306",,,,
9428066,Lionel Messi,"1,818,001","1,977,088","6,777,230","5,177,401,280","6,660,663,509","70,316","1,818,001","1,977,088","6,777,230","5,177,401,280","6,728,212,292","71,159",,,,
10978057,SER3van32t,"436,450","572,048","333,613","11,384,973,533","22,818,694,792","46,828","436,454","572,048","333,614","11,384,973,533","23,096,976,157","47,205",,,,
28274829,2# GOLLY aun,"3,390,420","3,375,910","1,868,186","4,122,758,000","13,945,518,882","103,740","3,408,626","3,375,911","1,910,533","4,122,758,000","14,128,973,532","106,037",,,,
14175833,Staxonstacks,"950,009","272,682","1,489,791","2,518,176,918","26,781,451,191","126,355","954,099","279,515","1,499,927","2,523,176,918","27,181,633,671","127,471",,,,
