Id,name,T3_Kills,T2_Kills,T1_Kills,RssAssistance,RssGathered,AllianceHelp
14466663,Nodoevents,448193,838105,1054504,1304534870,14586194842,34621
9755112,Mr Patito,2604329,3249901,7561012,9669923668,30039799480,176612
42272356,Monkey Whale,5018416,2389431,9017047,9153262805,12178110986,103761
9430116,ABG71,1129754,2140428,8086460,4956897871,19227603670,237744
67220414,CloudStrife,604139,594143,89410395,18570948451,15649875706,97350
20690937,Lv94hate24,2055302,1631705,36873859,7156595273,25526291747,201758
28150613,Memoza,438827,1153799,2315578,2009450229,22241858113,62718
14331709,Bret19,1901749,2026934,5776883,3260329070,28740498587,1921933
9387032,BAnanaa,623231,1166922,1593359,6830842384,36767579179,115022
3567450,drakirlwar,1817756,1312033,2263134,1065141793,19084127760,62620
9383865,xDiazovix,1829890,1148345,30297823,4754381030,21952596218,95403
7645762,Mr Gambit,1022580,1162088,4799538,8978437603,14582427805,69743
14308259,LazyAK,2363178,1139252,3868613,3545680121,25794584573,168957
28296848,DragonSlayerâ€˜,4498936,1290846,1047611,7091794061,20228808017,132100
56508340,$2 BRIANA 32,8962563,5037895,84124453,22119490988,14917535462,182029
3298896,VeGeTo,4072418,4357721,14540471,26861700552,15923493511,62101
9156365,RH Rici,8469697,3505644,10098679,15144631657,25117275334,103356
20957449,WarSimi,3611156,3544304,7402248,927279119,10647770247,42476
6327022,StJamrockSt,991112,402655,1281397,1910083780,17341269298,75342
50946531,stompy,5524720,3245541,10875575,1411329015,28379240094,54186
28110550,WILKINS,1331262,802064,1155416,2094718335,25792715650,75802
20714976,SuicideZal3ra,129366,125347,1532196,4462998183,25870398450,78216
14215825,Psaki AleX,473479,587962,10059660,2509794956,35179675137,140937
1742231,TarantinoBZH,570640,2245554,4942804,12015320247,26809655654,40542
28261673,Abo Alfoz,1407797,2120973,4443898,1154225055,25094803545,169317
9067996,Nub Sui,793980,481953,1429804,7373679182,25778674016,71193
22905119,HAYZEUS,14697007,6730240,28159593,8934152908,22931754852,51432
7727288,TreizNrV,1404966,1709537,3026214,7370867848,31857930302,149774
2658308,Valkynaz,6126741,2482861,11751511,5938202752,22220065787,84552
9066552,Castario,1997979,961716,2636133,2584352387,15209434558,93508
20413930,PuntsHer,2552593,1787879,4726661,2514054184,16515084136,45538
12636696,RtiggerSz,1189614,333295,2147341,7952515572,27075038280,116662
705324,EP Envy,659481,1112693,6451728,3862283597,18363635242,137501
14169834,nubKris S}0]Â£!,4139846,2598374,6060011,8342548887,20996032682,137141
56459657,Arsenal999,227029,1914437,4051826,3140126560,12687910226,74358
19437786,,771515,905484,5899832,8572287651,19465513623,133098
7228066,ck0403my,922866,1147324,3911273,3477462477,31806744805,124840
434262,Anthony76,578339,338820,589733,6086674350,22892842363,54717
13863867,Nezhaforever,2055796,1505807,26694818,5334029208,17641394098,45135
9107928,IFudgel,1801791,1614479,13209145,7142564277,24500209532,89906
3317232,leboomer,1461094,1544450,42263450,10808765829,23303294154,98121
22375708,Nathalie95,1564291,1031411,28613547,3338461751,27395433649,193436
35238338,KnightsGamer,35124,82242,226576,14139993913,19254588890,29494
37024046,Its Qwert,10753878,14149974,29319682,8667778709,13299740790,61170
20700297,SWhiskey3t,5837434,3151190,6019032,9020204877,24279004352,107613
3463423,Aen peper,643055,491077,1502496,4893796668,23347653578,175208
9428066,Lionel Messi,1818001,1977088,6777230,5177401280,6660663509,70316
10978057,SER3van32t,436450,572048,333613,11384973533,22818694792,46828
28274829,2# GOLLY aun,3390420,3375910,1868186,4122758000,13945518882,103740
